{'loss': [0.19939810037612915], 'accuracy': [0.9432545900344849], 'val_loss': [2.5386605262756348], 'val_accuracy': [0.5005999803543091]}
{'loss': [0.19678142666816711], 'accuracy': [0.9445144534111023], 'val_loss': [2.3310248851776123], 'val_accuracy': [0.49869999289512634]}
{'loss': [0.20735818147659302], 'accuracy': [0.9403674602508545], 'val_loss': [2.4348902702331543], 'val_accuracy': [0.5008000135421753]}
{'loss': [0.10979892313480377], 'accuracy': [0.9696587920188904], 'val_loss': [1.8723676204681396], 'val_accuracy': [0.5454000234603882]}
{'loss': [0.07675020396709442], 'accuracy': [0.9750655889511108], 'val_loss': [1.4329075813293457], 'val_accuracy': [0.6523000001907349]}
{'loss': [0.20934723317623138], 'accuracy': [0.9383202195167542], 'val_loss': [2.622871160507202], 'val_accuracy': [0.5006999969482422]}
{'loss': [0.10734735429286957], 'accuracy': [0.9689763784408569], 'val_loss': [1.6215877532958984], 'val_accuracy': [0.6047999858856201]}
{'loss': [0.07671734690666199], 'accuracy': [0.9770078659057617], 'val_loss': [1.4832751750946045], 'val_accuracy': [0.6198999881744385]}
{'loss': [0.19851282238960266], 'accuracy': [0.9417847990989685], 'val_loss': [2.6580324172973633], 'val_accuracy': [0.4959000051021576]}
{'loss': [0.20304696261882782], 'accuracy': [0.9403149485588074], 'val_loss': [2.275646448135376], 'val_accuracy': [0.5054000020027161]}
{'loss': [0.2058505117893219], 'accuracy': [0.9406824111938477], 'val_loss': [2.614126682281494], 'val_accuracy': [0.4957999885082245]}
{'loss': [0.11160789430141449], 'accuracy': [0.9667191505432129], 'val_loss': [1.8580983877182007], 'val_accuracy': [0.5843999981880188]}
{'loss': [0.2011551558971405], 'accuracy': [0.9408923983573914], 'val_loss': [2.8896303176879883], 'val_accuracy': [0.5008000135421753]}
{'loss': [0.11197182536125183], 'accuracy': [0.9684514403343201], 'val_loss': [1.9439247846603394], 'val_accuracy': [0.548799991607666]}
{'loss': [0.20690937340259552], 'accuracy': [0.9405249357223511], 'val_loss': [2.650264024734497], 'val_accuracy': [0.5011000037193298]}
{'loss': [0.1968189924955368], 'accuracy': [0.9416797757148743], 'val_loss': [2.41845965385437], 'val_accuracy': [0.5019999742507935]}
{'loss': [0.2001451700925827], 'accuracy': [0.9407349228858948], 'val_loss': [2.6216471195220947], 'val_accuracy': [0.5019999742507935]}
{'loss': [0.21102391183376312], 'accuracy': [0.9376903176307678], 'val_loss': [2.439772129058838], 'val_accuracy': [0.4984999895095825]}
{'loss': [0.112464040517807], 'accuracy': [0.9676640629768372], 'val_loss': [1.7155547142028809], 'val_accuracy': [0.5590999722480774]}
{'loss': [0.20168069005012512], 'accuracy': [0.9439370036125183], 'val_loss': [2.6036009788513184], 'val_accuracy': [0.5026999711990356]}
{'loss': [0.10731100291013718], 'accuracy': [0.9682414531707764], 'val_loss': [1.6430721282958984], 'val_accuracy': [0.6110000014305115]}
{'loss': [0.20391379296779633], 'accuracy': [0.9404199719429016], 'val_loss': [2.355799913406372], 'val_accuracy': [0.5005999803543091]}
